year,phase,date,home_team,home_city,home_altitude_meters,away_team,away_city,away_altitude_meters,altitude_difference,home_goals,away_goals,score_raw,stadium
2019,Fase Final,"22 de agosto de 2019, 19:15 (UTC-3)",River Plate,Buenos Aires,25,Cerro Porteño,Asunción,77,-52,2,0,2:0 (1:0),Estadio Monumental
2019,Fase Final,"29 de agosto de 2019, 18:15 (UTC-4)",Cerro Porteño,Asunción,77,River Plate,Buenos Aires,25,52,1,1,1:1 (1:0),Estadio General Pablo Rojas
2019,Fase Final,"21 de agosto de 2019, 17:15 (UTC-5)",Liga de Quito,Quito,2850,Boca Juniors,Buenos Aires,25,2825,0,3,0:3 (0:1),Estadio Rodrigo Paz Delgado
2019,Fase Final,"28 de agosto de 2019, 19:15 (UTC-3)",Boca Juniors,Buenos Aires,25,Liga de Quito,Quito,2850,-2825,0,0,0:0,Estadio La Bombonera
2019,Fase Final,"20 de agosto de 2019, 21:30 (UTC-3)",Grêmio,Porto Alegre,10,Palmeiras,São Paulo,760,-750,0,1,0:1 (0:1),Arena do Grêmio
2019,Fase Final,"27 de agosto de 2019, 21:30 (UTC-3)",Palmeiras,São Paulo,760,Grêmio,Porto Alegre,10,750,1,2,1:2 (1:2),Estadio Pacaembú
2019,Fase Final,"21 de agosto de 2019, 21:30 (UTC-3)",Flamengo,Río de Janeiro,10,Internacional,Porto Alegre,10,0,2,0,2:0 (0:0),Estadio Maracaná
2019,Fase Final,"28 de agosto de 2019, 21:30 (UTC-3)",Internacional,Porto Alegre,10,Flamengo,Río de Janeiro,10,0,1,1,1:1 (0:0),Estadio Beira-Rio
2019,Fase Final,"1 de octubre de 2019, 21:30 (UTC-3)",River Plate,Buenos Aires,25,Boca Juniors,Buenos Aires,25,0,2,0,2:0 (1:0),Estadio Monumental
2019,Fase Final,"22 de octubre de 2019, 21:30 (UTC-3)",Boca Juniors,Buenos Aires,25,River Plate,Buenos Aires,25,0,1,0,1:0 (0:0),Estadio La Bombonera
2019,Fase Final,"2 de octubre de 2019, 21:30 (UTC-3)",Grêmio,Porto Alegre,10,Flamengo,Río de Janeiro,10,0,1,1,1:1 (0:0),Arena do Grêmio
2019,Fase Final,"23 de octubre de 2019, 21:30 (UTC-3)",Flamengo,Río de Janeiro,10,Grêmio,Porto Alegre,10,0,5,0,5:0 (1:0),Estadio Maracaná
2019,Fase Final,"23 de noviembre de 2019, 15:00 (UTC-5)",Flamengo,Río de Janeiro,10,River Plate,Buenos Aires,25,-15,2,1,2:1 (0:1),Estadio Monumental
2018,Fase de Grupos,27 de febrero,Monagas,Maturín,67,Cerro Porteño,Asunción,77,-10,0,2,0:2 Archivado el 29 de agosto de 2021 en Wayback Machine.,Maturín
2018,Fase de Grupos,27 de febrero,Defensor Sporting,Montevideo,43,Grêmio,Porto Alegre,10,33,1,1,1:1 Archivado el 31 de agosto de 2021 en Wayback Machine.,Montevideo
2018,Fase de Grupos,13 de marzo,Cerro Porteño,Asunción,77,Defensor Sporting,Montevideo,43,34,2,1,2:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Asunción
2018,Fase de Grupos,4 de abril,Grêmio,Porto Alegre,10,Monagas,Maturín,67,-57,4,0,4:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Porto Alegre
2018,Fase de Grupos,17 de abril,Defensor Sporting,Montevideo,43,Monagas,Maturín,67,-24,3,1,3:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Montevideo
2018,Fase de Grupos,17 de abril,Cerro Porteño,Asunción,77,Grêmio,Porto Alegre,10,67,0,0,0:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Asunción
2018,Fase de Grupos,25 de abril,Monagas,Maturín,67,Defensor Sporting,Montevideo,43,24,1,0,1:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Maturín
2018,Fase de Grupos,1 de mayo,Grêmio,Porto Alegre,10,Cerro Porteño,Asunción,77,-67,5,0,5:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Porto Alegre
2018,Fase de Grupos,15 de mayo,Defensor Sporting,Montevideo,43,Cerro Porteño,Asunción,77,-34,0,1,0:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Montevideo
2018,Fase de Grupos,15 de mayo,Monagas,Maturín,67,Grêmio,Porto Alegre,10,57,1,2,1:2 Archivado el 14 de abril de 2021 en Wayback Machine.,Maturín
2018,Fase de Grupos,23 de mayo,Cerro Porteño,Asunción,77,Monagas,Maturín,67,10,3,2,3:2 Archivado el 14 de abril de 2021 en Wayback Machine.,Asunción
2018,Fase de Grupos,23 de mayo,Grêmio,Porto Alegre,10,Defensor Sporting,Montevideo,43,-33,1,0,1:0 Archivado el 24 de febrero de 2021 en Wayback Machine.,Porto Alegre
